Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,TCmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
406,Richarlison\fa031b34,br BRA,FWMF,Everton,24,1997,28.0,352,570,61.8,5326,1162,184,256,71.9,122,174,70.1,23,54,42.6,5,2.4,+2.6,26,22,11,1,34,Matches
407,Jaïro Riedewald\7a1f2c08,nl NED,MF,Crystal Palace,24,1996,1.3,45,54,83.3,920,217,13,16,81.3,26,27,96.3,6,9,66.7,0,0.1,-0.1,2,3,0,0,4,Matches
408,Matt Ritchie\71ef519e,sct SCO,DF,Newcastle Utd,31,1989,14.9,511,703,72.7,10284,5160,233,260,89.6,175,217,80.6,97,208,46.6,2,1.6,+0.4,29,39,15,7,48,Matches
409,Connor Roberts\24fae784,wls WAL,DF,Burnley,25,1995,18.8,562,834,67.4,10640,4678,246,283,86.9,228,327,69.7,83,202,41.1,1,1.1,-0.1,13,41,17,7,63,Matches
410,Tyler Roberts\6c17e046,wls WAL,MFFW,Leeds United,22,1999,11.0,222,301,73.8,3529,831,119,145,82.1,67,90,74.4,22,38,57.9,1,1.2,-0.2,15,18,12,3,24,Matches
411,Andrew Robertson\2e4f5f03,sct SCO,DF,Liverpool,27,1994,28.2,1859,2294,81.0,33724,11980,846,923,91.7,821,955,86.0,183,356,51.4,10,5.2,+4.8,55,139,49,14,198,Matches
412,Joe Rodon\8d62d31a,wls WAL,DF,Tottenham,23,1997,1.0,28,31,90.3,598,152,8,8,100.0,14,16,87.5,6,7,85.7,0,0.0,0.0,0,2,0,0,0,Matches
413,Rodri\6434f10d,es ESP,MF,Manchester City,25,1996,32.0,2587,2796,92.5,52886,10194,932,983,94.8,1215,1286,94.5,424,491,86.4,2,1.4,+0.6,25,242,36,1,179,Matches
414,Rodrigo\1fb1c435,es ESP,MFFW,Leeds United,30,1991,25.2,667,895,74.5,11252,2788,347,437,79.4,218,275,79.3,77,116,66.4,1,4.6,-3.6,40,67,34,10,76,Matches
415,Jay Rodriguez\4ab53cdb,eng ENG,FW,Burnley,32,1989,15.4,209,319,65.5,2729,733,141,180,78.3,46,88,52.3,7,21,33.3,2,1.9,+0.1,12,17,3,1,18,Matches
416,Mads Roerslev\57c94db2,dk DEN,DF,Brentford,22,1999,13.8,230,344,66.9,4264,1403,89,110,80.9,105,150,70.0,30,64,46.9,1,0.9,+0.1,9,12,10,9,26,Matches
417,Cristian Romero\a3d94a58,ar ARG,DF,Tottenham,23,1998,20.5,1117,1278,87.4,22003,7095,398,434,91.7,558,591,94.4,150,222,67.6,0,0.5,-0.5,6,58,7,0,52,Matches
418,Oriol Romeu\4b511457,es ESP,MF,Southampton,29,1991,32.1,1396,1685,82.8,26627,6081,608,701,86.7,572,664,86.1,192,266,72.2,2,2.8,-0.8,35,125,25,2,125,Matches
419,Cristiano Ronaldo\dea698d9,pt POR,FW,Manchester Utd,36,1985,27.3,718,888,80.9,9995,1448,443,514,86.2,217,265,81.9,28,41,68.3,3,3.1,-0.1,24,37,16,0,49,Matches
420,Salomón Rondón\b318a643,ve VEN,FW,Everton,31,1989,8.8,128,192,66.7,1600,237,80,107,74.8,26,48,54.2,5,9,55.6,1,0.7,+0.3,7,7,2,0,4,Matches
421,Danny Rose\89d10e53,eng ENG,DF,Watford,31,1990,7.7,221,331,66.8,4636,2661,81,91,89.0,97,132,73.5,39,88,44.3,0,0.8,-0.8,5,24,7,1,32,Matches
422,Jon Rowe\8c12f884,eng ENG,FWMF,Norwich City,18,2003,2.5,50,71,70.4,630,210,33,39,84.6,10,15,66.7,3,8,37.5,1,0.3,+0.7,4,2,2,0,4,Matches
423,John Ruddy\da8b19e2,eng ENG,GK,Wolves,34,1986,1.5,19,29,65.5,558,382,5,5,100.0,6,6,100.0,8,18,44.4,0,0.0,0.0,0,1,0,0,0,Matches
424,Antonio Rüdiger\18b896d6,de GER,DF,Chelsea,28,1993,33.7,2162,2447,88.4,46177,13796,656,697,94.1,1137,1210,94.0,356,504,70.6,0,1.1,-1.1,13,220,29,4,161,Matches
425,Lukas Rupp\3faa1780,de GER,MF,Norwich City,30,1991,8.5,327,393,83.2,5589,1339,162,177,91.5,122,141,86.5,33,52,63.5,0,1.2,-1.2,9,18,6,1,29,Matches
426,José Sá\903b6e8b,pt POR,GK,Wolves,28,1993,36.5,740,1089,68.0,21883,12476,147,148,99.3,300,304,98.7,286,629,45.5,1,1.0,0.0,4,14,2,0,1,Matches
427,Allan Saint-Maximin\2b16cb1a,fr FRA,FWMF,Newcastle Utd,24,1997,31.2,547,758,72.2,9115,2128,282,340,82.9,198,262,75.6,51,95,53.7,5,5.8,-0.8,51,45,32,9,56,Matches
428,Romain Saïss\9fbbcf39,ma MAR,DF,Wolves,31,1990,30.1,1415,1718,82.4,29554,13832,440,483,91.1,748,846,88.4,217,359,60.4,0,0.4,-0.4,6,150,2,0,120,Matches
429,Bukayo Saka\bc7dc64d,eng ENG,FWMF,Arsenal,19,2001,33.1,892,1184,75.3,13502,3277,514,604,85.1,293,376,77.9,58,126,46.0,7,6.9,+0.1,65,36,32,7,73,Matches
430,Mohamed Salah\e342ad68,eg EGY,FW,Liverpool,29,1992,30.7,869,1118,77.7,12439,3620,550,633,86.9,256,332,77.1,39,74,52.7,13,10.4,+2.6,61,35,61,8,123,Matches
431,Mohammed Salisu\0b33f6ad,gh GHA,DF,Southampton,22,1999,33.0,1375,1780,77.2,27017,11298,497,575,86.4,699,829,84.3,168,344,48.8,0,0.5,-0.5,8,149,7,2,118,Matches
432,Albert Sambi Lokonga\1b4f1169,be BEL,MF,Arsenal,21,1999,12.6,719,802,89.7,13212,2841,311,336,92.6,305,327,93.3,91,123,74.0,0,0.8,-0.8,18,64,17,1,61,Matches
433,Davinson Sánchez\da7b447d,co COL,DF,Tottenham,25,1996,18.1,972,1088,89.3,19470,5422,317,339,93.5,517,546,94.7,126,179,70.4,0,0.4,-0.4,4,78,8,1,52,Matches
434,Robert Sánchez\6a713852,es ESP,GK,Brighton,23,1997,37.0,1053,1500,70.2,30548,15632,163,164,99.4,545,556,98.0,345,777,44.4,0,0.4,-0.4,3,28,2,0,1,Matches
435,Jadon Sancho\dbf053da,eng ENG,FWMF,Manchester Utd,21,2000,21.1,810,982,82.5,11532,2687,500,576,86.8,256,308,83.1,32,49,65.3,3,4.2,-1.2,41,27,36,6,72,Matches
436,Morgan Sanson\6e7f1353,fr FRA,MF,Aston Villa,26,1994,4.0,121,157,77.1,2086,490,61,65,93.8,52,65,80.0,7,18,38.9,0,0.0,0.0,1,15,1,0,10,Matches
437,Samir Santos\92b4758e,br BRA,DF,Watford,26,1994,18.6,537,659,81.5,11529,3410,156,170,91.8,278,315,88.3,93,159,58.5,0,0.1,-0.1,2,24,2,0,22,Matches
438,Josh Sargent\a8d4428b,us USA,FWMF,Norwich City,21,2000,17.5,298,402,74.1,3985,857,201,243,82.7,78,109,71.6,12,19,63.2,1,0.7,+0.3,13,6,3,0,20,Matches
439,Jeremy Sarmiento\ac0d576d,ec ECU,FWMF,Brighton,19,2002,0.5,14,20,70.0,178,32,8,12,66.7,5,7,71.4,0,0,,0,0.0,0.0,0,2,1,0,1,Matches
440,Ismaila Sarr\bfdb33aa,sn SEN,FWMF,Watford,23,1998,20.7,330,467,70.7,5383,1369,191,239,79.9,98,135,72.6,32,59,54.2,2,2.5,-0.5,20,21,22,4,45,Matches
441,Malang Sarr\4315f30d,fr FRA,DF,Chelsea,22,1999,6.1,424,473,89.6,8046,2294,155,163,95.1,212,227,93.4,52,72,72.2,0,0.4,-0.4,3,32,2,1,20,Matches
442,Dane Scarlett\21945a9e,eng ENG,MF,Tottenham,17,2004,0.0,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
443,Fabian Schär\c8aa95da,ch SUI,DF,Newcastle Utd,29,1991,24.0,679,953,71.2,17637,7574,164,197,83.2,320,369,86.7,193,376,51.3,2,0.6,+1.4,6,76,14,1,44,Matches
444,Jeffrey Schlupp\3312f911,gh GHA,MFFW,Crystal Palace,28,1992,20.6,506,667,75.9,9091,2347,217,264,82.2,227,290,78.3,52,79,65.8,1,1.8,-0.8,19,43,10,2,49,Matches
445,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,34,1986,37.0,902,1253,72.0,28636,16086,106,107,99.1,412,415,99.3,382,729,52.4,0,0.0,0.0,1,9,1,0,2,Matches
446,Ken Sema\1770bd68,se SWE,MFFW,Watford,27,1993,9.5,132,213,62.0,2268,697,75,92,81.5,32,54,59.3,17,42,40.5,0,1.2,-1.2,11,7,3,3,4,Matches
447,Nélson Semedo\d04b94db,pt POR,DF,Wolves,27,1993,23.7,908,1152,78.8,13728,4999,519,576,90.1,323,391,82.6,48,129,37.2,1,1.2,-0.2,16,51,10,2,72,Matches
448,Ryan Sessegnon\6aa3e78b,eng ENG,DF,Tottenham,21,2000,11.6,315,424,74.3,5397,1473,157,186,84.4,123,158,77.8,33,57,57.9,2,2.9,-0.9,15,12,15,6,35,Matches
449,Jamie Shackleton\8d03ca5a,eng ENG,DFMF,Leeds United,21,1999,7.9,352,409,86.1,5743,1663,173,189,91.5,146,166,88.0,26,32,81.3,0,0.0,0.0,2,20,3,0,18,Matches
450,Luke Shaw\9c94165b,eng ENG,DF,Manchester Utd,26,1995,17.8,938,1172,80.0,15632,6022,497,547,90.9,333,396,84.1,92,180,51.1,3,3.2,-0.2,39,62,17,6,78,Matches
451,Jonjo Shelvey\3727dd3c,eng ENG,MF,Newcastle Utd,29,1992,22.0,733,914,80.2,17739,5353,217,239,90.8,299,350,85.4,206,305,67.5,1,0.8,+0.2,16,95,10,0,70,Matches
452,Shola Shoretire\00f0482f,eng ENG,FW,Manchester Utd,17,2004,0.2,5,5,100.0,92,21,2,2,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
453,Francisco Sierralta\0f933743,cl CHI,DF,Watford,24,1997,4.7,143,169,84.6,3478,939,20,22,90.9,84,89,94.4,36,54,66.7,0,0.0,0.0,0,3,0,0,3,Matches
454,Bernardo Silva\3eb22ec9,pt POR,MFFW,Manchester City,26,1994,31.7,1698,1921,88.4,27192,4433,923,985,93.7,619,694,89.2,117,160,73.1,4,5.2,-1.2,54,102,42,9,88,Matches
455,Fábio Silva\e7aa9d7c,pt POR,FW,Wolves,19,2002,6.4,93,132,70.5,1268,238,61,75,81.3,23,33,69.7,4,7,57.1,0,0.2,-0.2,4,4,6,0,13,Matches
456,Thiago Silva\86e7deaf,br BRA,DF,Chelsea,36,1984,29.4,2345,2524,92.9,50070,17549,697,721,96.7,1232,1280,96.3,398,489,81.4,0,0.2,-0.2,7,192,16,0,134,Matches
457,Ellis Simms\26d3b5be,eng ENG,FW,Everton,20,2001,0.7,8,15,53.3,89,14,6,10,60.0,2,5,40.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
458,Moussa Sissoko\2acd49b9,fr FRA,MF,Watford,31,1989,35.8,945,1185,79.7,16885,4964,462,533,86.7,353,441,80.0,113,158,71.5,1,2.8,-1.8,33,90,23,11,112,Matches
459,Oliver Skipp\6250083a,eng ENG,MF,Tottenham,20,2000,15.0,736,822,89.5,13204,3036,313,336,93.2,343,371,92.5,73,95,76.8,0,0.9,-0.9,7,77,9,1,69,Matches
460,William Smallbone\5e105217,ie IRL,MFFW,Southampton,21,2000,1.5,22,38,57.9,319,93,12,17,70.6,8,14,57.1,1,3,33.3,0,0.1,-0.1,1,1,0,0,1,Matches
461,Emile Smith Rowe\17695062,eng ENG,MFFW,Arsenal,21,2000,21.3,691,811,85.2,10719,2112,390,429,90.9,244,268,91.0,41,82,50.0,2,2.2,-0.2,29,26,25,0,57,Matches
462,Cédric Soares\839c14e1,pt POR,DF,Arsenal,29,1991,16.5,874,1110,78.7,14979,4753,429,476,90.1,336,397,84.6,91,193,47.2,1,1.4,-0.4,18,71,26,14,51,Matches
463,Tomáš Souček\6613c819,cz CZE,MF,West Ham,26,1995,34.0,1035,1332,77.7,19295,4272,455,565,80.5,421,521,80.8,140,197,71.1,1,1.5,-0.5,16,93,14,3,100,Matches
464,Boubakary Soumaré\ae59b359,fr FRA,MF,Leicester City,22,1999,12.2,449,551,81.5,7821,1865,198,239,82.8,197,224,87.9,43,70,61.4,1,0.4,+0.6,5,31,6,1,39,Matches
465,Çağlar Söyüncü\21166ff4,tr TUR,DF,Leicester City,25,1996,27.7,1570,1822,86.2,32036,9815,479,516,92.8,876,930,94.2,200,345,58.0,0,0.1,-0.1,3,70,3,2,53,Matches
466,Tony Springett\35be8087,eng ENG,FWMF,Norwich City,18,2002,1.6,26,38,68.4,421,85,15,20,75.0,8,8,100.0,2,6,33.3,0,0.4,-0.4,1,2,1,0,3,Matches
467,Jason Steele\28300a16,eng ENG,GK,Brighton,30,1990,1.0,34,38,89.5,824,323,8,8,100.0,19,19,100.0,7,11,63.6,0,0.0,0.0,0,0,0,0,0,Matches
468,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,28,1992,1.0,27,36,75.0,759,560,2,2,100.0,16,16,100.0,9,18,50.0,0,0.0,0.0,0,0,0,0,0,Matches
469,Zack Steffen\42130443,us USA,GK,Manchester City,26,1995,1.0,33,38,86.8,638,313,18,18,100.0,10,10,100.0,5,10,50.0,0,0.0,0.0,0,0,0,0,0,Matches
470,Dale Stephens\653ee42d,eng ENG,MF,Burnley,32,1989,1.4,44,57,77.2,835,214,16,23,69.6,21,25,84.0,6,7,85.7,0,0.0,0.0,1,2,1,0,3,Matches
471,Jack Stephens\6adbc307,eng ENG,DF,Southampton,27,1994,9.0,348,445,78.2,7199,2324,118,127,92.9,168,201,83.6,55,102,53.9,0,0.3,-0.3,4,21,1,0,24,Matches
472,Raheem Sterling\b400bde0,eng ENG,FW,Manchester City,26,1994,23.6,722,876,82.4,10189,2123,456,508,89.8,222,262,84.7,26,47,55.3,5,4.6,+0.4,41,16,55,8,75,Matches
473,Finley Stevens\7e003182,wls WAL,DF,Brentford,18,2003,0.2,5,8,62.5,94,51,2,3,66.7,3,4,75.0,0,1,0.0,0,0.0,0.0,1,0,1,0,2,Matches
474,John Stones\5eecec3d,eng ENG,DF,Manchester City,27,1994,12.4,905,976,92.7,18686,4562,314,339,92.6,439,453,96.9,146,172,84.9,0,0.1,-0.1,3,75,2,0,43,Matches
475,Pascal Struijk\f4d296e4,nl NED,DF,Leeds United,21,1999,22.8,1059,1213,87.3,22171,6139,325,356,91.3,564,605,93.2,162,227,71.4,0,0.3,-0.3,6,60,2,0,72,Matches
476,Crysencio Summerville\df04eb4b,nl NED,MFFW,Leeds United,19,2001,1.4,50,69,72.5,751,190,26,31,83.9,18,25,72.0,3,6,50.0,0,0.1,-0.1,2,4,4,0,7,Matches
477,Jakob Sørensen\953c30b0,dk DEN,MFDF,Norwich City,23,1998,6.7,247,300,82.3,5092,1432,86,98,87.8,117,127,92.1,40,66,60.6,0,0.0,0.0,0,16,0,0,12,Matches
478,Japhet Tanganga\e9971f2d,eng ENG,DF,Tottenham,22,1999,8.2,327,396,82.6,5889,1750,148,167,88.6,144,170,84.7,30,51,58.8,0,0.4,-0.4,2,9,5,1,18,Matches
479,Matt Targett\e514ab62,eng ENG,DF,Aston Villa,25,1995,15.9,599,805,74.4,11681,5580,244,288,84.7,272,327,83.2,74,151,49.0,1,2.2,-1.2,22,67,23,8,94,Matches
480,Matt Targett\e514ab62,eng ENG,DF,Newcastle Utd,25,1995,16.0,568,777,73.1,10321,5142,251,287,87.5,247,313,78.9,57,146,39.0,0,1.6,-1.6,20,47,14,4,52,Matches
481,James Tarkowski\15ea812b,eng ENG,DF,Burnley,28,1992,34.5,802,1120,71.6,20232,7971,197,258,76.4,365,471,77.5,231,371,62.3,2,0.6,+1.4,9,82,13,0,92,Matches
482,Nuno Tavares\a65c844b,pt POR,DF,Arsenal,21,2000,13.1,584,714,81.8,9809,2847,303,332,91.3,231,271,85.2,45,80,56.3,1,1.0,0.0,9,26,10,6,28,Matches
483,Charlie Taylor\cc2d7ad5,eng ENG,DF,Burnley,27,1993,30.3,977,1364,71.6,18453,7863,458,518,88.4,361,459,78.6,140,321,43.6,3,3.5,-0.5,20,64,26,19,79,Matches
484,Nathan Tella\f1e94cd6,eng ENG,MFFW,Southampton,22,1999,8.9,112,181,61.9,1695,440,67,84,79.8,33,56,58.9,7,24,29.2,1,0.7,+0.3,7,7,3,2,12,Matches
485,Alex Telles\e73c9bb2,br BRA,DF,Manchester Utd,28,1992,18.4,887,1178,75.3,14415,5853,465,523,88.9,339,415,81.7,66,193,34.2,4,2.0,+2.0,27,50,17,6,60,Matches
486,Luke Thomas\fc027d02,eng ENG,DF,Leicester City,20,2001,21.2,1008,1256,80.3,16099,5883,507,560,90.5,429,507,84.6,53,127,41.7,1,1.6,-0.6,11,66,14,2,73,Matches
487,Dominic Thompson\235a62f8,eng ENG,DF,Brentford,21,2000,1.6,21,41,51.2,338,92,10,14,71.4,8,10,80.0,2,13,15.4,0,0.0,0.0,0,0,0,0,1,Matches
488,Youri Tielemans\56f7a928,be BEL,MF,Leicester City,24,1997,29.2,1437,1746,82.3,27111,7669,604,680,88.8,636,723,88.0,175,291,60.1,4,4.9,-0.9,40,164,29,6,164,Matches
489,Kieran Tierney\fce2302c,sct SCO,DF,Arsenal,24,1997,21.3,904,1164,77.7,17193,5517,352,400,88.0,449,523,85.9,92,199,46.2,3,1.9,+1.1,22,73,25,16,76,Matches
490,Takehiro Tomiyasu\b3af9be1,jp JPN,DF,Arsenal,22,1998,18.7,883,1085,81.4,15671,5400,404,455,88.8,376,458,82.1,89,138,64.5,1,0.6,+0.4,12,74,17,13,55,Matches
491,James Tomkins\e7ca0439,eng ENG,DF,Crystal Palace,32,1989,6.1,276,314,87.9,6692,1750,46,51,90.2,167,177,94.4,62,82,75.6,0,0.4,-0.4,2,5,0,0,9,Matches
492,Ivan Toney\e09f279b,eng ENG,FW,Brentford,25,1996,32.3,458,779,58.8,6695,2319,273,395,69.1,128,234,54.7,34,74,45.9,5,5.8,-0.8,40,58,28,2,77,Matches
493,Ferrán Torres\9e1035f8,es ESP,FW,Manchester City,21,2000,3.4,55,72,76.4,834,75,29,36,80.6,18,21,85.7,5,6,83.3,1,0.0,+1.0,1,2,1,0,2,Matches
494,Cenk Tosun\9a104dee,tr TUR,FW,Everton,30,1991,0.1,2,2,100.0,37,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
495,Andros Townsend\b28bbd58,eng ENG,MF,Everton,30,1991,16.2,342,487,70.2,5948,2075,162,190,85.3,138,175,78.9,37,96,38.5,2,2.4,-0.4,30,18,28,13,46,Matches
496,Adama Traoré\9a28eba4,es ESP,FW,Wolves,25,1996,11.9,245,329,74.5,4223,794,125,159,78.6,85,113,75.2,31,41,75.6,0,1.7,-1.7,19,17,15,7,23,Matches
497,Bertrand Traoré\c47541e0,bf BFA,MFFW,Aston Villa,25,1995,2.4,62,83,74.7,1115,254,30,34,88.2,25,33,75.8,7,10,70.0,0,0.0,0.0,0,5,4,0,10,Matches
498,Trézéguet\3ae14ed1,eg EGY,FW,Aston Villa,26,1994,0.1,6,6,100.0,97,37,5,5,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,2,1,0,1,Matches
499,Francisco Trincão\77e39b04,pt POR,FWMF,Wolves,21,1999,14.8,353,458,77.1,5918,1285,183,211,86.7,127,152,83.6,35,63,55.6,1,1.2,-0.2,15,27,13,5,32,Matches
500,Kieran Trippier\21512407,eng ENG,DF,Newcastle Utd,30,1990,4.8,190,276,68.8,3993,2093,74,85,87.1,71,102,69.6,40,77,51.9,0,0.4,-0.4,7,16,6,0,18,Matches
501,William Troost-Ekong\7ed4921e,ng NGA,DF,Watford,27,1993,15.4,440,557,79.0,11533,3675,65,78,83.3,244,272,89.7,130,200,65.0,0,0.1,-0.1,1,29,1,0,31,Matches
502,Leandro Trossard\38ceb24a,be BEL,FWMF,Brighton,26,1994,31.2,913,1181,77.3,16083,3592,468,552,84.8,302,387,78.0,115,160,71.9,3,4.1,-1.1,46,70,58,7,122,Matches
503,Kostas Tsimikas\f315ca93,gr GRE,DF,Liverpool,25,1996,9.7,512,698,73.4,9298,3200,226,253,89.3,224,278,80.6,57,131,43.5,2,2.6,-0.6,26,25,14,9,45,Matches
504,Axel Tuanzebe\2baec6ce,eng ENG,DF,Aston Villa,23,1997,5.6,197,227,86.8,4287,1116,50,55,90.9,104,115,90.4,39,53,73.6,0,0.0,0.0,0,3,0,0,6,Matches
505,Ozan Tufan\17d45fb2,tr TUR,MF,Watford,26,1995,3.7,85,122,69.7,1564,425,40,48,83.3,35,44,79.5,9,21,42.9,0,0.2,-0.2,4,13,1,0,11,Matches
506,Christos Tzolis\9f333379,gr GRE,FWMF,Norwich City,19,2002,3.7,75,102,73.5,1283,325,39,47,83.0,26,31,83.9,8,16,50.0,0,1.0,-1.0,8,3,2,1,7,Matches
507,Yan Valery\531a4aa8,fr FRA,DF,Southampton,22,1999,4.1,108,155,69.7,1899,592,46,58,79.3,50,64,78.1,8,24,33.3,0,0.1,-0.1,1,10,1,1,8,Matches
508,Raphaël Varane\9f8e9423,fr FRA,DF,Manchester Utd,28,1993,20.3,986,1096,90.0,22762,5946,230,245,93.9,539,580,92.9,212,260,81.5,1,0.2,+0.8,4,68,0,0,41,Matches
509,Jamie Vardy\45963054,eng ENG,FW,Leicester City,34,1987,20.1,192,266,72.2,3283,659,88,118,74.6,83,105,79.0,14,24,58.3,2,1.6,+0.4,19,12,19,3,27,Matches
510,Joël Veltman\dad4b285,nl NED,DF,Brighton,29,1992,31.9,1440,1843,78.1,28864,10751,468,531,88.1,774,937,82.6,183,315,58.1,1,1.1,-0.1,16,126,18,6,115,Matches
511,Jannik Vestergaard\1900032e,dk DEN,DF,Leicester City,28,1992,6.3,328,357,91.9,7332,2082,87,91,95.6,180,188,95.7,57,70,81.4,0,0.0,0.0,1,12,0,0,15,Matches
512,Nikola Vlašić\aa8e289e,hr CRO,FWMF,West Ham,23,1997,6.2,170,220,77.3,2423,413,107,119,89.9,51,65,78.5,6,19,31.6,0,0.4,-0.4,8,3,4,0,13,Matches
513,Matěj Vydra\0d4ceb32,cz CZE,FW,Burnley,29,1992,7.5,76,112,67.9,889,186,49,69,71.0,16,24,66.7,1,2,50.0,3,0.6,+2.4,6,2,1,0,4,Matches
514,Theo Walcott\1ecb65be,eng ENG,MFFW,Southampton,32,1989,4.2,61,86,70.9,842,142,36,43,83.7,22,32,68.8,2,4,50.0,0,0.0,0.0,1,2,1,0,3,Matches
515,Kyle Walker\86dd77d1,eng ENG,DF,Manchester City,31,1990,19.5,1465,1647,88.9,28597,7636,568,603,94.2,695,758,91.7,193,256,75.4,2,1.2,+0.8,13,175,20,5,86,Matches
516,Kyle Walker-Peters\984a5a64,eng ENG,DF,Southampton,24,1997,29.3,1071,1359,78.8,17488,6435,556,627,88.7,420,522,80.5,77,140,55.0,2,2.9,-0.9,23,66,37,3,124,Matches
517,Aaron Wan-Bissaka\9e525177,eng ENG,DF,Manchester Utd,23,1997,19.9,929,1113,83.5,13817,4639,553,605,91.4,299,345,86.7,48,88,54.5,0,0.9,-0.9,14,43,12,7,53,Matches
518,Danny Ward\d3ce0e89,wls WAL,GK,Leicester City,28,1993,1.0,30,34,88.2,766,417,6,6,100.0,18,18,100.0,6,10,60.0,0,0.0,0.0,0,0,0,0,0,Matches
519,Joel Ward\8a7ff278,eng ENG,DF,Crystal Palace,31,1989,27.6,1370,1712,80.0,25429,9093,581,648,89.7,621,718,86.5,153,297,51.5,0,0.6,-0.6,7,92,15,4,85,Matches
520,James Ward-Prowse\3515d404,eng ENG,MF,Southampton,26,1994,35.7,1671,2132,78.4,31243,9791,708,773,91.6,714,810,88.1,219,492,44.5,5,6.2,-1.2,70,164,23,9,135,Matches
521,Ollie Watkins\aed3a70f,eng ENG,FW,Aston Villa,25,1995,32.8,493,689,71.6,6727,1304,314,401,78.3,128,186,68.8,23,41,56.1,2,2.9,-0.9,32,30,24,1,48,Matches
522,Adam Webster\c40b6180,eng ENG,DF,Brighton,26,1995,15.9,933,1135,82.2,20125,7296,255,292,87.3,519,567,91.5,149,252,59.1,0,0.1,-0.1,1,99,1,0,73,Matches
523,Wout Weghorst\c4e87b8b,nl NED,FW,Burnley,28,1992,16.1,288,432,66.7,3598,813,190,258,73.6,66,99,66.7,12,19,63.2,3,1.4,+1.6,12,18,8,1,19,Matches
524,Danny Welbeck\ce5143da,eng ENG,FW,Brighton,30,1990,16.4,227,284,79.9,2800,435,161,189,85.2,52,62,83.9,5,10,50.0,2,1.0,+1.0,15,9,8,0,16,Matches
525,Timo Werner\49fe9070,de GER,FWMF,Chelsea,25,1996,14.3,302,399,75.7,4163,589,183,215,85.1,95,123,77.2,10,22,45.5,1,0.4,+0.6,9,9,11,2,17,Matches
526,Ashley Westwood\495945ef,eng ENG,MF,Burnley,31,1990,25.4,859,1226,70.1,17879,6040,326,372,87.6,346,446,77.6,172,366,47.0,3,3.6,-0.6,31,106,32,3,107,Matches
527,Ben White\35e413f1,eng ENG,DF,Arsenal,23,1997,32.0,1538,1793,85.8,31146,9415,512,558,91.8,816,883,92.4,197,315,62.5,0,0.6,-0.6,9,121,6,0,90,Matches
528,Brandon Williams\5e74d6c8,eng ENG,DF,Norwich City,20,2000,23.6,901,1115,80.8,16354,6032,389,432,90.0,422,510,82.7,84,148,56.8,1,1.3,-0.3,19,43,19,4,82,Matches
529,Neco Williams\dd323728,wls WAL,DF,Liverpool,20,2001,0.1,8,8,100.0,153,32,1,1,100.0,5,5,100.0,1,1,100.0,1,0.6,+0.4,1,0,0,0,0,Matches
530,Joe Willock\a3b03921,eng ENG,MF,Newcastle Utd,21,1999,22.6,438,542,80.8,7141,1720,232,275,84.4,151,177,85.3,38,58,65.5,0,1.2,-1.2,16,33,8,3,37,Matches
531,Callum Wilson\c596fcb0,eng ENG,FW,Newcastle Utd,29,1992,15.4,123,176,69.9,1784,340,61,84,72.6,44,59,74.6,6,11,54.5,0,0.6,-0.6,10,7,4,1,7,Matches
532,Harry Winks\2f7acede,eng ENG,MF,Tottenham,25,1996,10.1,573,662,86.6,11215,3226,218,235,92.8,255,285,89.5,85,119,71.4,1,1.5,-0.5,11,61,15,0,68,Matches
533,Yoane Wissa\2500cef9,cd COD,FWMF,Brentford,24,1996,14.3,191,280,68.2,2920,636,110,140,78.6,55,83,66.3,19,30,63.3,1,0.7,+0.3,8,8,10,1,25,Matches
534,Chris Wood\4e9a0555,nz NZL,FW,Burnley,29,1991,15.2,182,308,59.1,2670,566,120,188,63.8,47,81,58.0,12,16,75.0,0,0.2,-0.2,7,17,5,0,19,Matches
535,Chris Wood\4e9a0555,nz NZL,FW,Newcastle Utd,29,1991,14.7,179,320,55.9,2234,495,122,196,62.2,40,80,50.0,7,15,46.7,0,1.0,-1.0,10,18,2,0,13,Matches
536,Freddie Woodman\19e50035,eng ENG,GK,Newcastle Utd,24,1997,4.0,74,123,60.2,2481,1475,8,8,100.0,34,34,100.0,31,80,38.8,0,0.0,0.0,0,6,0,0,0,Matches
537,Granit Xhaka\e61b8aee,ch SUI,MFDF,Arsenal,28,1992,25.9,1346,1548,87.0,25063,6693,572,633,90.4,579,641,90.3,169,217,77.9,2,2.3,-0.3,35,160,45,5,145,Matches
538,Andriy Yarmolenko\849c826a,ua UKR,FW,West Ham,31,1989,3.5,79,107,73.8,1336,277,41,55,74.5,29,37,78.4,8,11,72.7,0,0.2,-0.2,3,1,5,1,8,Matches
