Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,TCmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
335,Edouard Mendy\33887998,sn SEN,GK,Chelsea,29,1992,34.0,781,939,83.2,18696,10527,225,227,99.1,341,348,98.0,195,343,56.9,0,0.0,0.0,0,2,0,0,0,Matches
336,Nampalys Mendy\1598599e,sn SEN,MF,Leicester City,29,1992,11.5,602,650,92.6,10960,1530,255,266,95.9,273,291,93.8,62,74,83.8,0,0.0,0.0,1,33,1,0,21,Matches
337,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,21,2000,37.6,1008,1377,73.2,25469,12478,226,227,99.6,506,512,98.8,270,630,42.9,0,0.0,0.0,0,2,0,0,0,Matches
338,Luka Milivojević\2ce2508a,rs SRB,MF,Crystal Palace,30,1991,8.6,387,485,79.8,7751,2142,135,156,86.5,172,205,83.9,68,102,66.7,0,0.8,-0.8,10,27,6,2,34,Matches
339,James Milner\2f90f6b8,eng ENG,MFDF,Liverpool,35,1986,9.5,623,749,83.2,12231,3712,243,275,88.4,276,312,88.5,95,139,68.3,1,2.2,-1.2,20,74,20,2,75,Matches
340,Yerry Mina\6d5701f2,co COL,DF,Everton,26,1994,9.4,289,353,81.9,6235,1788,86,100,86.0,130,151,86.1,60,82,73.2,0,0.0,0.0,0,15,0,0,12,Matches
341,Takumi Minamino\f833a830,jp JPN,FWMF,Liverpool,26,1995,2.1,63,75,84.0,848,181,38,44,86.4,19,20,95.0,2,7,28.6,0,0.5,-0.5,2,5,2,0,6,Matches
342,Tyrone Mings\8397a50c,eng ENG,DF,Aston Villa,28,1993,35.4,1272,1580,80.5,28303,10048,334,390,85.6,697,768,90.8,232,394,58.9,3,1.5,+1.5,10,76,6,1,75,Matches
343,Tyrick Mitchell\5cbd1eb0,eng ENG,DF,Crystal Palace,21,1999,34.5,1383,1898,72.9,23616,11393,633,719,88.0,621,801,77.5,103,276,37.3,2,1.3,+0.7,20,98,36,16,133,Matches
344,Jakub Moder\f230bc30,pl POL,MFFW,Brighton,22,1999,18.9,590,806,73.2,9527,2782,303,366,82.8,223,299,74.6,47,82,57.3,3,1.7,+1.3,14,52,19,3,67,Matches
345,Wesley Moraes\bfae110f,br BRA,FW,Aston Villa,24,1996,0.0,2,2,100.0,19,10,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
346,Tyler Morton\2bc28bb9,eng ENG,MF,Liverpool,18,2002,0.7,32,37,86.5,586,122,14,15,93.3,14,15,93.3,4,6,66.7,0,0.0,0.0,0,8,0,0,3,Matches
347,Mason Mount\9674002f,eng ENG,MFFW,Chelsea,22,1999,26.3,991,1272,77.9,15394,4619,552,616,89.6,313,394,79.4,80,174,46.0,10,6.7,+3.3,58,65,54,10,122,Matches
348,Lucas Moura\2b622f01,br BRA,FWMF,Tottenham,28,1992,19.7,576,765,75.3,8966,2463,320,372,86.0,211,281,75.1,31,68,45.6,6,4.4,+1.6,33,51,34,6,82,Matches
349,João Moutinho\f5a00fa4,pt POR,MF,Wolves,34,1986,33.0,1671,1983,84.3,34677,7380,568,642,88.5,764,847,90.2,312,436,71.6,1,2.4,-1.4,38,148,20,3,138,Matches
